# tskridge,tskvae,tskhar,tskpca,mskridge,mskvae,mskhar,mskpca,pmridge,pmhar,pmpca,vae,har,pca
0.000000000000000000e+00,-1.109883479087266807e+02,7.894451907182340733e+01,-7.264935570860646408e+01,-1.592581923638815589e+01,-8.090359327453909088e+01,8.221493724329607744e+01,-5.862824484946343517e+01,-2.712330295857427132e+01,6.569686913152945351e+01,-6.424786929524283607e+01,-7.890826299693742385e+01,8.667625790222176363e+01,-7.920588909348755635e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.122780379583094117e+02,1.178384070435015296e+01,1.105737581937591756e+02,3.028324511469010716e+01,1.123415173975981673e+02,9.787074795724343135e-01,1.091226225950563844e+02,1.106944400722588142e+02,1.346066733351884004e+01,-6.335896746845704541e+01,1.134422753713986083e+02,9.723733678397831426e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.287370755313760640e+01,-5.168327513824397812e+01,-8.145891728477295146e+01,-1.240233155949674071e+01,-5.907199857283583810e+01,-8.316313150269080268e+01,-2.457960431939311974e+01,-6.473642331269010697e+01,-7.868275516370771072e+01,-6.760098438044868097e+00,-7.948834968759662445e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.361577214132874758e+01,2.870285783625793385e+01,7.518496907589751288e+01,-2.049263170636650244e+01,7.232480201448183266e+01,7.411052437972384155e+01,1.079610894428176415e+01,-6.643561077603841625e+01,7.628803463697551024e+01,-1.621367755361607976e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.266963176466411767e+01,8.003810933725942789e+01,-5.906079955678015381e+01,-2.294099808479380664e-01,5.910981140594541472e+01,-6.490209146717454303e+01,-7.903520492073440096e+01,8.680751270921949470e+01,-8.036402176125918118e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.483271703575968559e+01,-2.747508988067081148e+01,8.047256166262131671e+01,8.274580488506825304e+01,-1.632526138274245753e+01,-6.894395442541690500e+01,8.614965468535800142e+01,-3.483339383567420100e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.944900209842635519e+01,-6.302916805631559072e+01,-1.126431049695017395e+00,-6.531188622170544988e+01,-7.878087732058665438e+01,1.023717950120476061e+01,-8.047827804853866951e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.847797862487743714e+01,6.036169716047695033e+01,3.199836027826603768e+01,-6.200200510363725215e+01,6.132988949033036619e+01,1.454508536567289667e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.405231406074936729e+01,-6.416337018894049038e+01,-7.856571692777698956e+01,1.207860384870553361e+02,-7.882093314430964881e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.487085447847132968e+01,-7.846131474181746057e+01,7.639630916568064478e+00,-7.949207774119058456e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.354794222748012800e+01,6.810098802508295535e+01,-1.540990987855291472e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.927913027869222162e+01,6.660689095947731175e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.131162922033641394e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
