# tskridge,tskvae,tskhar,tskpca,mskridge,mskvae,mskhar,mskpca,pmridge,pmhar,pmpca,vae,har,pca
0.000000000000000000e+00,-1.188280773538715778e+02,-9.415173789594962273e+01,-6.073826288663813955e+01,-1.459796852121784205e+01,-1.272387996908264682e+02,-8.518142892428650725e+01,-6.147023014061479529e+01,-3.449914493435526808e+00,-8.401131192554942118e+01,-5.951054197095660214e+01,-6.178466641176165552e+01,-9.609320185832270056e+01,-6.511527909703967509e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.198018000207792255e+01,-2.609168721065963226e+01,1.256231038886584628e+02,4.935062153768505055e+01,6.352617465876264191e+01,-2.723728250475742385e+01,1.149038153949478271e+02,7.783961101519403769e+01,-2.313904623781185421e+01,-5.387334740138491895e+01,6.412426990220399148e+01,-3.304100195418453723e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.682566408804700586e+01,-8.910423287042156915e+01,-1.143389132160679935e+02,6.397098799940498459e+00,-6.987376692947189838e+01,-9.249278344213826131e+01,-1.037939292847641859e+01,-6.868776584885713987e+01,-6.497941725205612329e+01,-5.879493651280152022e+01,-7.013801276089833436e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.189483175214695621e+01,4.223663287892079410e+01,5.002901619548842405e+01,-1.498216736849577657e+01,6.075164115458225922e+01,5.231656607187552765e+01,3.083235733722709782e+01,-5.458822235472888451e+01,4.834516566854927078e+01,-6.696415381733650918e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.444394591981981648e+02,-8.966548258004695526e+01,-6.257517805745299455e+01,1.102177958520135270e+01,-8.526415075755697615e+01,-6.064013880098860199e+01,-6.224150924669044826e+01,-1.019018582992336093e+02,-6.630676554267240874e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.478895214654795609e+01,-4.340487157758226289e+01,1.247348789364005910e+02,6.353291835965870860e+01,-4.000149506693493606e+01,-5.658942429733543378e+01,3.443491582404428186e+01,-4.863233968985329625e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.077931401426955915e+01,-9.559642985029233841e+01,-1.958250099551790413e+01,-6.960252394594066061e+01,-6.527077843775752797e+01,-6.149376671888980894e+01,-7.100011358480055890e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.157314483281111706e+01,5.362066859700783539e+01,4.433475782581800217e+01,-5.283319402219119354e+01,4.974714705082924127e+01,-5.193089975298956773e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.663304123138233592e+01,-5.958943285762665454e+01,-6.166405911677927065e+01,-9.702590976589796412e+01,-6.518819438034302038e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.900815856909842694e+01,-6.497710276643351790e+01,-4.018875752277926949e+01,-7.044274886111193723e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.463765889164183420e+01,4.640278020815024007e+01,-9.259218398080591328e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.824697211416559384e+01,5.181705541973254014e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.931493652075235445e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
