# tskridge,tskvae,tskhar,tskpca,mskridge,mskvae,mskhar,mskpca,pmridge,pmhar,pmpca,vae,har,pca
0.000000000000000000e+00,-7.316731012894919672e+01,-6.866375225070189003e+01,-8.974691303658549657e+01,-1.946635706231713314e+01,-1.102144155116318274e+02,-6.596345923700826575e+01,-7.939844289501992591e+01,-9.349065871405358052e+01,-6.169179115268769209e+01,-8.848812564135444347e+01,-1.083859937926745403e+02,-7.865392800831037334e+01,-9.054450738374325169e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.107691983696622628e+01,1.248243145047573499e+01,7.286544589491511204e+01,5.578668255449353808e+01,5.637356355271738551e+01,1.106650157951238000e+00,7.155923907705511056e+01,6.490299537103452110e+01,7.564086216568267851e+00,-8.256593256985669882e+01,5.273034792032022722e+01,2.812428195217636873e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.002403065940127647e+01,-7.021654930197647104e+01,-9.335020015547998185e+01,-1.972812557723084481e+01,-8.265695834802092179e+01,-7.423260709053268158e+01,-5.042424939851339616e+01,-8.607943012733922217e+01,-1.079900173430777102e+02,-4.718935141207621342e+01,-8.957030095021008265e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.119726378217795570e+01,5.612356966310961326e+01,7.849607053968912851e+01,-3.344622330666520327e+01,8.775590083869685998e+01,8.621162054682631037e+01,-1.970435462777519930e+01,-9.834354625471274858e+01,6.937494203045589813e+01,-7.218425515057478492e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.119563179091875185e+02,-6.846769340733342801e+01,-8.048150236778488420e+01,-3.896599529538502793e+01,-6.485302524092008980e+01,-9.008001192486244690e+01,-1.089211252053695773e+02,-8.215732015476970673e+01,-9.202316145877979636e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.056723958182597833e+01,-5.717267373136541408e+01,1.030353026948153001e+02,6.677519224771140216e+01,-5.650679795351030066e+01,-1.041920926569044923e+02,-1.500403827265363699e+00,-6.345673745010387279e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.338699495303961839e+01,-7.590943647025910934e+01,-2.793076627204358076e+01,-8.700445827521893705e+01,-1.083474534409195371e+02,-3.940594637302670833e+01,-9.047889868516053014e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.796432378290923282e+01,7.797700325748631656e+01,1.799166648539754121e+01,-9.922432920099346632e+01,6.771959257278444966e+01,6.417068686027043611e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.692764350292245012e+01,-8.690335304613481071e+01,-1.077751041994499985e+02,-7.535306069489904246e+01,-8.887036377661212327e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.610562434407950150e+01,-1.080367135116374158e+02,-3.255379118356204771e+01,-8.961070080572443430e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.878111933924159871e+01,7.174142990299081646e+01,-2.572398841288591953e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.089997477395618262e+02,9.879141789822088526e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.920299563721250991e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
