# tskridge,tskvae,tskhar,mskridge,mskvae,mskhar,pmridge,pmhar
0.000000000000000000e+00,-1.080757235226250828e+02,6.550276635651169954e+01,-2.367206237274413994e+01,-8.741038673392057490e+01,6.067257061289970466e+01,-1.421440822724965258e+01,5.415760694566445466e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.028214825360871316e+02,1.097911221302388043e+02,6.863942317418167960e+00,1.009911748722715004e+02,1.011629537281028632e+02,9.910535687129129201e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.697134732008167646e+01,-8.835212901959494047e+01,-2.502093336850825267e+01,-9.641713177704957616e+01,-2.570633374461730725e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.866181911863350251e+01,5.860727576412552509e+01,3.371084796188537958e+00,5.379719226119701148e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.434345990115083680e+01,8.253052418975525484e+01,8.167516011814761612e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.731452670846799435e+01,2.134346634129322684e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.850718506368448857e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
