,alpha,beta,mu,rho,nu,date
0,0.28773127251956354,0.9143079261894295,0.04028979415687228,-0.6087632175395746,0.7554189541940495,2002-02-08
1,0.27207913926855765,0.9729454275252396,0.03174260357495373,-0.999999,0.1844591526638136,2002-02-11
2,0.5304863991274296,0.3831865489907299,0.0439196885272197,-0.6538802296302414,0.6251461336085983,2002-02-12
3,0.505860679613137,0.4033860016796682,0.037289799822416765,-0.5692450155522581,0.6502308033855689,2002-02-13
4,0.4868182881058875,0.4847018997096002,0.03572317080017364,-0.588851572710922,0.7295428382471469,2002-02-14
5,0.2803355805239706,1.0624540459231804,0.030926239570510692,-0.544076253395294,0.938167814032838,2002-02-15
6,0.421192085039026,0.5492629854212935,0.04826913937107344,-0.6598735841380748,0.7873917009479645,2002-02-19
7,0.27305029737174674,1.2275282861050854,0.03017512724179765,-0.5625340396518648,1.3374944278526024,2002-02-20
8,0.3496667574671569,1.1630718265518414,0.015040027970449255,-0.3961818433013401,0.4819040906340387,2002-02-21
9,0.3867087338671614,0.7707662070396475,0.03463699341971087,-0.5740480701660832,1.1454586559272992,2002-02-22
10,0.36825236149535273,0.7406955990592917,0.03399770718142888,-0.5943241140335992,0.8590794340187138,2002-02-25
11,0.37701242279147523,0.8206346738860942,0.02940760529741238,-0.5102499912054355,1.0266743421477385,2002-02-26
12,26.668177780999148,0.008815093505225628,0.03516372947333474,-0.5732694191671917,1.1585056760377823,2002-02-27
13,0.397961651916107,0.9103981431731857,0.022649952954810735,-0.384578259487557,1.3394592473293307,2002-02-28
14,0.39833277467617034,0.9264430655546336,0.018624158590555783,-0.41935499925014763,1.2559164462010877,2002-03-01
15,0.3584033706476215,0.9372188068109134,0.020211391310513364,-0.17566026734000703,0.519152274791173,2002-03-04
16,0.39501130239189464,1.0520706543888942,0.009106429481085655,-0.4408401364564054,1.3926076213653207,2002-03-05
17,0.35602870328084074,0.7462831960988812,0.0298335597236212,-0.2250887104770569,0.4720055084753819,2002-03-06
18,0.2840914357603398,0.8870906294133629,0.03432221002283842,-0.44489728112704063,0.6952868008220542,2002-03-07
19,0.42066719536258745,0.9129946019613002,0.00956018824020278,-0.4030732064010996,1.1043825160769345,2002-03-08
20,0.4128432274070852,0.8830132607602532,0.013873654166672198,-0.24180953698777952,0.5727212253327295,2002-03-11
21,0.39935417211928503,0.969227046330061,0.012688422819657633,-0.4256773228292927,1.1599722477253713,2002-03-12
22,0.4003746479948949,0.8600329589328868,0.003198533174441507,-0.30983101982861244,1.331200759591528,2002-03-13
23,106.08179420695875,0.002574894261355747,0.024170897101432543,-0.4210610440776964,1.2115978047475588,2002-03-14
24,0.35845994706314177,0.8795944549483091,0.022495653645101175,-0.38212588139570947,0.5989087257958199,2002-03-15
25,0.24213407145190952,1.6512182289830162,0.015030336109526253,-0.42774873980868144,0.918831552679375,2002-03-18
26,0.3034017760085393,1.2292254441463613,0.017643363051517286,-0.5232928231706114,1.4013715379463403,2002-03-19
27,0.29969169382819855,1.209694123177996,0.016134851973006906,-0.2671262005596177,0.6981653441006883,2002-03-20
28,0.24331810163995674,1.624465566368022,0.010243945311054898,0.0007557076398201302,0.7048342235241644,2002-03-21
29,0.24106618612922176,1.5581643264335963,0.015398162665790823,-0.2475356474898822,0.7680835989708783,2002-03-22
30,0.5992661520621452,0.29102402958704543,0.03981518097310046,-0.3981071258617769,0.4849156130808616,2002-03-25
31,0.3403655286526876,0.7412285269698176,0.030698327716896866,-0.39711436444146,0.7844329247003998,2002-03-26
32,0.6338092705128088,0.25937361522100966,0.031070236260654995,0.999999,0.11820476896243316,2002-03-27
33,0.2735055311432863,0.7455012159766865,0.02790687922555808,0.13153023896716745,0.3095974068502309,2002-03-28
34,0.1920230929368287,1.456111255514796,0.023033933971589586,0.15463555628569095,0.587103374648992,2002-04-01
35,0.4604450244002223,0.4107658785725991,0.03652660854742898,-0.09658540426134829,0.2880565258362732,2002-04-02
36,0.3175701434593918,0.8161849207368432,0.036559639793034004,-0.999999,0.1274163629783483,2002-04-03
37,0.1858963546700019,1.9839204399698729,0.018111834836145042,0.2772714294258821,0.4468864908515381,2002-04-04
38,0.32343389591199057,0.7221370606406968,0.03539965533294379,-0.5390685338622601,0.41969677499214764,2002-04-05
39,0.238160598278512,0.9812105482526676,0.038852916743289924,-0.20787707124187357,0.5012260061992294,2002-04-08
40,0.22961940028220837,0.934230968729839,0.038996678542627325,-0.9999970943605798,2.294206699338918e-06,2002-04-09
41,0.2825807040862416,0.7428422676784983,0.03754219761042655,0.997970836269506,0.0018257952036012728,2002-04-10
42,0.278566172177463,0.7529427508939249,0.03446655637320911,0.19684679160770202,0.35220307921613225,2002-04-11
43,0.24471430462268906,1.0336889328671708,0.035553334707711375,-0.19135699345485332,0.5393353840895998,2002-04-12
44,0.22192049941587372,1.080740547462549,0.03696618781434212,-0.15454146866716703,0.568892146977295,2002-04-15
45,0.3195185170375716,0.5888426081341167,0.03315330546000546,-0.02523777116661032,0.476808287977307,2002-04-16
46,0.17884757560165787,1.4756310942477688,0.032930674491922614,-0.32550277259432775,0.5500987445526665,2002-04-17
47,0.18272440622228553,1.7342345652925282,0.02312524331212811,0.006233475215461043,0.3035618424595068,2002-04-18
48,1.1618009331728458,0.15558952754010286,0.042464113484061934,-0.40951344925707034,0.7378641489755489,2002-04-19
49,0.21850369426333818,1.1463391605865254,0.03613149498919048,-0.2569631439340132,0.5654543228611518,2002-04-22
50,0.21269546082131632,1.1372521959119974,0.044063532101923444,-0.44896556302687746,0.9383880877386316,2002-04-23
51,0.21117561964102366,1.2900425912722222,0.03085841581497573,-0.046460241725543104,0.20166144745346667,2002-04-24
52,0.29738966801128824,0.663147319708926,0.04823397663601066,-0.4164624321751848,0.6855109256886252,2002-04-25
53,0.22039311225967476,1.1830120980327854,0.03197144001462252,-0.21855581885529032,0.4580342711157892,2002-04-26
54,0.2857993948683297,0.7894967499268163,0.044600308924215556,-0.2557897752718059,0.462366769000457,2002-04-29
