# tskridge,tskvae,tskhar,tskpca,mskridge,mskvae,mskhar,mskpca,pmridge,pmhar,pmpca,vae,har,pca
0.000000000000000000e+00,-1.293567371794609926e+02,-6.958126492179903266e+01,-7.295569211635788065e+01,-3.305208750313946098e+01,-6.617570654073951175e+01,-6.309544061976932028e+01,-6.870401866786679079e+01,-1.626506444377727334e+01,-6.017749031749315236e+01,-6.931204192147488641e+01,-5.887451328133992234e+01,-7.274928477329960685e+01,-7.057787451009191670e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.328546620325708005e+01,-4.432704958338127454e+01,1.382221361932249977e+02,5.337578354689602378e+01,1.057716327931758649e+01,-4.039509668350688543e+01,1.228739214996023748e+02,3.770701241390606384e+01,-3.597256732097240217e+01,-5.390893027208372956e+01,3.686380997625946510e+00,-4.333627880984514746e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.756149398823811225e+01,-7.850575834705936984e+01,-9.683938038350146371e+01,-2.502093336850825978e+01,-8.108091523953825686e+01,-7.574674927545883918e+01,-2.570633374461731435e+01,-8.076147511696943582e+01,-6.487307973981747011e+01,-9.071264403048030500e-01,-8.701922053811209423e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.367618570121655353e+01,6.162068661964105587e+01,4.949061958001097850e+01,8.044043097562225242e+00,7.238588071414429237e+01,5.850579561519307958e+01,2.311462677105419417e+01,-4.823370750430460419e+01,4.447938044344445530e+01,-6.748864521809412764e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.921737361838094671e+01,-5.954802316766072323e+01,-6.956137426206252883e+01,1.862609019150815115e+01,-5.511633127103974061e+01,-7.022598173129900090e+01,-5.887868456102525982e+01,-6.912877207279652225e+01,-7.147395734186503091e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.053843807354182083e+01,-5.858574389846003783e+01,6.254530601647611121e+01,5.128777845518541767e+00,-5.446757234535015613e+01,-5.674340086627479707e+01,-1.649935287619532076e+01,-6.144887779620346180e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.150076588090377072e+01,-7.508189481902250861e+01,2.134346634129322684e+00,-8.118265749153417232e+01,-6.487794037171103412e+01,2.851152374935979594e+01,-8.761257016165616562e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.810874086297357621e+01,5.152595923732049954e+01,2.623851690198531017e+01,-4.870447034241648510e+01,3.825373936492247395e+01,-3.391587842217214899e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.098364958389677071e+01,-6.885198098082383922e+01,-5.860031232945453183e+01,-7.343278528872967570e+01,-6.997162518279333199e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.060544534421232754e+01,-6.460626236133373368e+01,3.007044493211118663e+01,-8.672241851025013659e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.883084167118622787e+01,3.417345210119272281e+01,-3.734150990819829730e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.248295975996060037e+01,4.826889745070044313e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.745612177234717421e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
