# ridge,lasso,rf,enet,keras
0.000000000000000000e+00,-1.546858737367408310e+02,-2.908309415141727428e+01,-1.546858737367408310e+02,-5.378667139150316245e+01
0.000000000000000000e+00,0.000000000000000000e+00,1.089969047261095483e+02,nan,1.772755273760902810e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.089969047261095767e+02,3.290444982828760967e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.772755273760902810e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
