# mskridge,mskautoencoder,tskridge,tskautoencoder,pmridge,mskhar,tskhar,pmhar
0.000000000000000000e+00,-6.027162346256413628e+01,9.644886393472708264e+00,-3.280078871702696119e+01,-7.300529151006946904e+01,1.801654172036039614e-01,1.892900451847054910e+01,-4.864350593579058568e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.621831262097675364e+01,3.435650181532417236e+01,2.648840469919630625e+00,5.292957340124817733e+01,5.880298923267454114e+01,3.443716383628353839e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.860695971150344263e+01,-7.283714900487090915e+01,-1.026179577023633449e+01,4.271793310836383739e+01,-4.727640970007601595e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.914888558681158770e+01,2.561434762512855201e+01,4.340559922572887075e+01,-2.669733817576064983e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.969189212936282729e+01,8.193049565797112166e+01,1.103308359303830031e+02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.143415890031946347e+01,-3.554011183608658797e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.623732955184097904e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
